X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS
-73.994458999966241,40.750326999893062,1,NYP,"New York (Penn Station), New York",New York,NY,36
-77.006422000431741,38.896993000169722,2,WAS,"Washington, District of Columbia",Washington,DC,11
-75.181040999746472,39.955615000012479,3,PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,42
-87.639443000304311,41.878684000034553,4,CHI,"Chicago (Union Station), Illinois",Chicago,IL,17
-71.055303999629416,42.352311000127628,5,BOS,"Boston (South Station), Massachusetts",Boston,MA,25
-118.236778000023975,34.056176999862451,6,LAX,"Los Angeles, California",Los Angeles,CA,06
-121.500703999961758,38.584004000067509,7,SAC,"Sacramento, California",Sacramento,CA,06
-76.615687999673725,39.307302000180279,8,BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,24
-73.741147000431795,42.641028999686831,9,ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,36
-71.413477999670803,41.829490000162025,10,PVD,"Providence, Rhode Island",Providence,RI,44
-117.16957600014581,32.716168999747453,11,SAN,"San Diego (Downtown), California",San Diego,CA,06
-75.551095000231442,39.737262999896686,12,WIL,"Wilmington, Delaware",Wilmington,DE,10
-76.69429999958173,39.192361999865589,13,BWI,"BWI Rail Station at Thurgood Marshall Airport, Mar",BWI Marshall Airport,MD,24
-74.164749999906263,40.734705999951537,14,NWK,"Newark (Penn Station), New Jersey",Newark,NJ,34
-122.33016100018709,47.59844500024569,15,SEA,"Seattle (Amtrak), Washington",Seattle,WA,53
-72.926669999558925,41.29771399982176,16,NHV,"New Haven, Connecticut",New Haven,CT,09
-71.075828000266839,42.347317000212108,17,BBY,"Boston (Back Bay), Massachusetts",Boston,MA,25
-87.917104000006503,43.034517999847424,18,MKE,"Milwaukee, Wisconsin",Milwaukee,WI,55
-122.676806000312524,45.528724000303654,19,PDX,"Portland, Oregon",Portland,OR,41
-122.29161500011628,37.840473999969568,20,EMY,"Emeryville, California",Emeryville,CA,06
-76.30771400019087,40.054180999905739,21,LNC,"Lancaster, Pennsylvania",Lancaster,PA,42
-76.878256000045553,40.262050000145599,22,HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,42
-119.008209999829617,35.372139999840869,23,BFD,"Bakersfield, California",Bakersfield,CA,06
-71.147894000055672,42.210241999959671,24,RTE,"Westwood, Route 128 Station, Massachusetts",Route 128,MA,25
-74.754439999673721,40.219011000023187,25,TRE,"Trenton, New Jersey",Trenton,NJ,34
-71.061121999652443,42.366234999885485,26,BON,"Boston (North Station), Massachusetts",Boston,MA,25
-73.542159999663554,41.047130000267344,27,STM,"Stamford, Connecticut",Stamford,CT,09
-117.27113499955766,32.992937000028498,28,SOL,"Solana Beach, California",Solana Beach,CA,06
-121.737707000173046,38.54356200016062,29,DAV,"Davis, California",Davis,CA,06
-74.329582999673335,40.568055999726532,30,MET,"Metropark (Iselin), New Jersey",Metropark,NJ,34
-119.782925999565478,36.738456999989566,31,FNO,"Fresno, California",Fresno,CA,06
-122.138784000093167,38.018920999930103,32,MTZ,"Martinez, California",Martinez,CA,06
-117.733694999904941,33.656771000130938,33,IRV,"Irvine, California",Irvine,CA,06
-77.496943000041796,37.617692999859578,34,RVR,"Richmond (Staples Mill Rd), Virginia",Richmond,VA,51
-122.271667000137356,37.793865999927526,35,OKJ,"Oakland, California",Oakland - Jack London Square,CA,06
-119.692784999741519,34.413718000271956,36,SBA,"Santa Barbara, California",Santa Barbara,CA,06
-90.203838000368833,38.624460999736243,37,STL,"St. Louis, Missouri",St. Louis,MO,29
-117.379429999957779,33.19251500027972,38,OSD,"Oceanside, California",Oceanside,CA,06
-117.922849000250736,33.868969000262453,39,FUL,"Fullerton, California",Fullerton,CA,06
-121.285632000176378,37.945468000125835,40,SKN,"Stockton (711-718), California",Stockton,CA,06
-122.354130000413264,37.936751999965026,41,RIC,"Richmond, California",Richmond,CA,06
-117.200073000049485,32.755266000256398,42,OLT,"San Diego (Old Town), California",San Diego - Old Town,CA,06
-117.877307999623838,33.803803000231596,43,ANA,"Anaheim, California",Anaheim,CA,06
-77.22094199984808,38.708143000170466,44,LOR,"Lorton (Auto Train), Virginia",Lorton,VA,51
-81.291273999851967,28.808544000208514,45,SFA,"Sanford (Auto Train), Florida",Sanford,FL,12
-88.984305999884668,40.509010000262776,46,BNL,"Bloomington-Normal, Illinois",Bloomington-Normal,IL,17
-121.902387999604187,37.32993300018363,47,SJC,"San Jose, California",San Jose,CA,06
-117.663813000404559,33.501317999686329,48,SNC,"San Juan Capistrano, California",San Juan Capistrano,CA,06
-73.797729000179686,42.253891000079776,49,HUD,"Hudson, New York",Hudson,NY,36
-73.951278000253211,41.921346000213333,50,RHI,"Rhinecliff, New York",Rhinecliff,NY,36
-75.48376000034429,40.042753999930625,51,PAO,"Paoli, Pennsylvania",Paoli,PA,42
-119.65181599990602,36.326077999666261,52,HNF,"Hanford, California",Hanford,CA,06
-77.062329999611833,38.806503000307075,53,ALX,"Alexandria, Virginia",Alexandria,VA,51
-90.078290999565965,29.946084999945928,54,NOL,Union Passenger Terminal,New Orleans,LA,22
-80.822811999816025,35.241403000123945,55,CLT,"Charlotte, North Carolina",Charlotte,NC,37
-76.871494000016312,38.948098000212937,56,NCR,"New Carrollton, Maryland",New Carrollton,MD,24
-122.04109899971715,38.243400999963157,57,SUI,"Suisun, California",Suisun-Fairfield,CA,06
-70.291258000192101,43.654097000153641,58,POR,"Portland, Maine",Portland,ME,23
-89.651384000069768,39.802323000024039,59,SPI,"Springfield, Illinois",Springfield,IL,17
-71.560596999976099,41.483959000033835,60,KIN,"West Kingston, Rhode Island",Kingston,RI,44
-88.241365999794439,40.115843000139506,61,CHM,"Champaign-Urbana, Illlinois",Champaign-Urbana,IL,17
-87.92435899995526,42.94058299973895,62,MKA,"Milwaukee (General Mitchell Intl Airport), Wiscons",Milwaukee Mitchell Airport,WI,55
-72.093224999596657,41.354267000114653,63,NLC,"New London, Connecticut",New London,CT,09
-78.645894000343432,35.774923000069187,64,RGH,"Raleigh, North Carolina",Raleigh,NC,37
-121.967002999625691,37.406777999930576,65,GAC,"Santa Clara (Great America), California",Santa Clara- Great American,CA,06
-94.585129000035096,39.084576000335666,66,KCY,"Kansas City, Missouri",Kansas City,MO,29
-122.300707000023806,37.867253999871707,67,BKY,"Berkeley, California",Berkeley,CA,06
-117.85660700033273,33.751629000010304,68,SNA,"Santa Ana, California",Santa Ana,CA,06
-79.992306999827406,40.444738000116701,69,PGH,"Pittsburgh, Pennsylvania",Pittsburgh,PA,42
-74.182290000189099,40.696617999874881,70,EWR,"Newark Liberty International Airport, New Jersey",Newark Liberty Airport,NJ,34
-72.681314000305207,41.768760999706053,71,HFD,"Hartford, Connecticut",Hartford,CT,09
-104.999928999911262,39.752959000102244,72,DEN,"Denver, Colorado",Denver,CO,08
-78.491684000120912,38.031484000271178,73,CVS,"Charlottesville, Virginia",Charlottesville,VA,51
-81.381515999958268,28.525926000118563,74,ORL,"Orlando, Florida",Orlando,FL,12
-75.621713000223892,40.019291000202166,75,EXT,"Exton, Pennsylvania",Exton,PA,42
-83.743153999975831,42.28769199991504,76,ARB,"Ann Arbor, Michigan",Ann Arbor,MI,26
-76.169244000102324,43.076548000320948,77,SYR,"Syracuse, New York",Syracuse,NY,36
-77.608057000041768,43.163410999765148,78,ROC,"Rochester, New York",Rochester,NY,36
-120.476804999995366,37.307183000239213,79,MCD,"Merced, California",Merced,CA,06
-122.420508999700289,47.2418939998933,80,TAC,"Tacoma, Washington",Tacoma,WA,53
-120.912913000077353,37.668950999970107,81,MOD,"Modesto, California",Modesto,CA,06
-79.78708000016006,36.069797000306473,82,GRO,"Greensboro, North Carolina",Greensboro,NC,37
-85.584017999978812,42.295255000325788,83,KAL,"Kalamazoo, Michigan",Kalamazoo,MI,26
-120.654700999688501,35.276433999961164,84,SLO,"San Luis Obispo, California",San Luis Obispo,CA,06
-78.726584000234652,42.907017000270038,85,BUF,"Buffalo (Depew), New York",Buffalo-Depew,NY,36
-76.451969999617077,37.022731000022461,86,NPN,"Newport News, Virginia",Newport News,VA,51
-82.450776999553071,27.952492000362376,87,TPA,"Tampa, Florida",Tampa,FL,12
-76.612233999864173,40.1470279998141,88,ELT,"Elizabethtown, Pennsylvania",Elizabethtown,PA,42
-97.326673000328341,32.75256300034988,89,FTW,"Fort Worth, Texas",Fort Worth,TX,48
-73.937489999705733,41.707056000001408,90,POU,"Poughkeepsie, New York",Poughkeepsie,NY,36
-89.216628000423,37.724234999753143,91,CDL,"Carbondale, Illinois",Carbondale,IL,17
-90.364105999915594,40.944678000014193,92,GBB,"Galesburg, Illinois",Galesburg,IL,17
-122.686544000300472,45.628900999843708,93,VAN,"Vancouver, Washington, United States",Vancouver,WA,53
-93.085354999900275,44.947660999802125,94,MSP,"St. Paul/Minneapolis, Minnesota",St. Paul-Minneapolis,MN,27
-72.592904999959714,42.105986999821376,95,SPG,"Springfield, Massachusetts",Springfield,MA,25
-123.092361000343089,44.055043000198395,96,EUG,"Eugene, Oregon",Eugene,OR,41
-73.784328999969759,40.911450999694146,97,NRO,"New Rochelle, New York",New Rochelle,NY,36
